PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
J	Jimenez, Jose Beltran; Rubiera-Garcia, Diego; Saez-Gomez, Diego; Salzano, Vincenzo								Cosmological future singularities in interacting dark energy models								PHYSICAL REVIEW D				94	12					123520	10.1103/PhysRevD.94.123520			DEC 21 2016	2016	The existence of interactions between dark matter and dark energy has been widely studied, since they can fit well the observational data and may provide new physics through such an interaction. In this work, we analyze these models and investigate their potential relation with future cosmological singularities. We find that every future singularity found in the literature can be mapped into a singularity of the interaction term, that we call the Q singularity, where the energy flow between the dark components diverges. Furthermore, this framework allows us to identify a new type of future singularity induced by the divergence of the first derivative of the dark energy equation of state parameter.		[Jimenez, Jose Beltran] Univ Toulon & Var, Aix Marseille Univ, CNRS, CPT, F-13288 Marseille, France; [Rubiera-Garcia, Diego; Saez-Gomez, Diego] Univ Lisbon, Inst Astrofis & Ciencias Espaco, Fac Ciencias, Edificio C8,Campo Grande, P-1749016 Lisbon, Portugal; [Saez-Gomez, Diego] ICE CSIC IEEC, Inst Ciencies Espai, Campus UAB,Carrer Can Magrans S-N, Bellaterra 08193, Barcelona, Spain; [Salzano, Vincenzo] Univ Szczecin, Inst Phys, Wielkopolska 15, PL-70451 Szczecin, Poland; [Jimenez, Jose Beltran] Univ Toulon & Var, Aix Marseille Univ, CNRS, CPT, F-13288 Marseille, France; [Rubiera-Garcia, Diego; Saez-Gomez, Diego] Univ Lisbon, Inst Astrofis & Ciencias Espaco, Fac Ciencias, Edificio C8,Campo Grande, P-1749016 Lisbon, Portugal; [Saez-Gomez, Diego] ICE CSIC IEEC, Inst Ciencies Espai, Campus UAB,Carrer Can Magrans S-N, Bellaterra 08193, Barcelona, Spain; [Salzano, Vincenzo] Univ Szczecin, Inst Phys, Wielkopolska 15, PL-70451 Szczecin, Poland								19							Astronomy & Astrophysics; Physics, Particles & Fields	WOS:000415935400005		
J	Auria, Richard; Boileau, Celine; Davidson, Sylvain; Casalot, Laurence; Christen, Pierre; Liebgott, Pierre Pol; Combet-Blanc, Yannick								Hydrogen production by the hyperthermophilic bacterium Thermotoga maritima Part II: modeling and experimental approaches for hydrogen production								BIOTECHNOLOGY FOR BIOFUELS				9						268	10.1186/s13068-016-0681-0			DEC 19 2016	2016	Background: Thermotoga maritima is a hyperthermophilic bacterium known to produce hydrogen from a large variety of substrates. The aim of the present study is to propose a mathematical model incorporating kinetics of growth, consumption of substrates, product formations, and inhibition by hydrogen in order to predict hydrogen production depending on defined culture conditions. Results: Our mathematical model, incorporating data concerning growth, substrates, and products, was developed to predict hydrogen production from batch fermentations of the hyperthermophilic bacterium, T. maritima. It includes the inhibition by hydrogen and the liquid-to-gas mass transfer of H-2, CO2, and H2S. Most kinetic parameters of the model were obtained from batch experiments without any fitting. The mathematical model is adequate for glucose, yeast extract, and thiosulfate concentrations ranging from 2.5 to 20 mmol/L, 0.2-0.5 g/L, or 0.01-0.06 mmol/L, respectively, corresponding to one of these compounds being the growth-limiting factor of T. maritima. When glucose, yeast extract, and thiosulfate concentrations are all higher than these ranges, the model overestimates all the variables. In the window of the model validity, predictions of the model show that the combination of both variables (increase in limiting factor concentration and in inlet gas stream) leads up to a twofold increase of the maximum H-2-specific productivity with the lowest inhibition. Conclusions: A mathematical model predicting H-2 production in T. maritima was successfully designed and confirmed in this study. However, it shows the limit of validity of such mathematical models. Their limit of applicability must take into account the range of validity in which the parameters were established.		[Auria, Richard; Boileau, Celine; Davidson, Sylvain; Casalot, Laurence; Christen, Pierre; Liebgott, Pierre Pol; Combet-Blanc, Yannick] Univ Toulon & Var, Aix Marseille Univ, CNRS, CNRS,IRD,MIO UM 110,Mediterranean Inst Oceanog, F-13288 Marseille, France; [Auria, Richard] Univ Toulon & Var, Aix Marseille Univ, CNRS, CNRS,IRD,MIO UM 110,Mediterranean Inst Oceanog, F-13288 Marseille, France								5							Biotechnology & Applied Microbiology; Energy & Fuels	WOS:000390716600002		
J	Boileau, Celine; Auria, Richard; Davidson, Sylvain; Casalot, Laurence; Christen, Pierre; Liebgott, Pierre-Pol; Combet-Blanc, Yannick								Hydrogen production by the hyperthermophilic bacterium Thermotoga maritima part I: effects of sulfured nutriments, with thiosulfate as model, on hydrogen production and growth								BIOTECHNOLOGY FOR BIOFUELS				9						269	10.1186/s13068-016-0678-8			DEC 19 2016	2016	Background: Thermotoga maritima and T. neapolitana are hyperthermophile bacteria chosen by many research teams to produce bio-hydrogen because of their potential to ferment a wide variety of sugars with the highest theoretical H-2/glucose yields. However, to develop economically sustainable bio-processes, the culture medium formulation remained to be optimized. The main aim of this study was to quantify accurately and specifically the effect of thiosulfate, used as sulfured nutriment model, on T. maritima growth, yields and productivities of hydrogen. The results were obtained from batch cultures, performed into a bioreactor, carefully controlled, and specifically designed to prevent the back-inhibition by hydrogen. Results: Among sulfured nutriments tested, thiosulfate, cysteine, and sulfide were found to be the most efficient to stimulate T. maritima growth and hydrogen production. In particular, under our experimental conditions (glucose 60 mmol L-1 and yeast extract 1 g L-1), the cellular growth was limited by thiosulfate concentrations lower than 0.06 mmol L-1. Under these conditions, the cellular yield on thiosulfate (Y X/Thio) could be determined at 3617 mg mmol(-1). In addition, it has been shown that the limitations of T. maritima growth by thiosulfate lead to metabolic stress marked by a significant metabolic shift of glucose towards the production of extracellular polysaccharides (EPS). Finally, it has been estimated that the presence of thiosulfate in the T. maritima culture medium significantly increased the cellular and hydrogen productivities by a factor 6 without detectable sulfide production. Conclusions: The stimulant effects of thiosulfate at very low concentrations on T. maritima growth have forced us to reconsider its role in this species and more probably also in all thiosulfato-reducer hyperthermophiles. Henceforth, thiosulfate should be considered in T. maritima as (1) an essential sulfur source for cellular materials when it is present at low concentrations (about 0.3 mmol g(-1) of cells), and (2) as both sulfur source and detoxifying agent for H-2 when thiosulfate is present at higher concentrations and, when, simultaneously, the pH(2) is high. Finally, to improve the hydrogen production in bio-processes using Thermotoga species, it should be recommended to incorporate thiosulfate in the culture medium.		[Boileau, Celine; Auria, Richard; Davidson, Sylvain; Casalot, Laurence; Christen, Pierre; Liebgott, Pierre-Pol; Combet-Blanc, Yannick] Univ Toulon & Var, Aix Marseille Univ, CNRS, IRD,MIO UM 110, F-13288 Marseille, France; [Combet-Blanc, Yannick] Univ Toulon & Var, Aix Marseille Univ, CNRS, IRD,MIO UM 110, F-13288 Marseille, France								10							Biotechnology & Applied Microbiology; Energy & Fuels	WOS:000390716600003		
J	Manzanera, Antoine; Thanh Phuong Nguyen; Xu, Xiaolei								Line and circle detection using dense one-to-one Hough transforms on greyscale images								EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING										46	10.1186/s13640-016-0149-y			DEC 12 2016	2016	By estimating the first-order (direction) and second-order (curvature) derivatives in an image, the parameters of a line or circle passing through a point may be uniquely defined in most cases. This allows to compute a one-to-one Hough transform, every point in the image space voting for one unique point in the parameter space. Moreover, those parameters can be directly estimated on the greyscale image without the need to calculate the contour and without reducing the spatial support of the Hough transform, i.e. densely on the whole image. The general framework using multiscale derivatives is presented, and the one-to-one Hough dense transforms for detecting lines and circles are evaluated and compared with other variants of Hough transforms, from qualitative and computational points of view.		[Manzanera, Antoine; Xu, Xiaolei] Univ Paris Saclay, U2IS, ENSTA ParisTech, 828 Blvd Marechaux, F-91762 Palaiseau, France; [Thanh Phuong Nguyen] Aix Marseille Univ, CNRS, ENSAM, LSIS UMR 7296, F-13397 Marseille, France; [Thanh Phuong Nguyen] Univ Toulon & Var, CNRS, LSIS, UMR 7296, F-83957 La Garde, France; [Manzanera, Antoine] Univ Paris Saclay, U2IS, ENSTA ParisTech, 828 Blvd Marechaux, F-91762 Palaiseau, France								15							Engineering, Electrical & Electronic; Imaging Science & Photographic Technology	WOS:000391587900002		
J	Briet, Philippe; Gharsalli, Mounira								Stark resonances in a quantum waveguide with analytic curvature								JOURNAL OF PHYSICS A-MATHEMATICAL AND THEORETICAL				49	49					495202	10.1088/1751-8113/49/49/495202			DEC 9 2016	2016	We investigate the influence of an electric field on trapped modes arising in a two-dimensional curved quantum waveguide Omega i.e. bound states of the corresponding Laplace operator -Delta(Omega). Here the curvature of the guide is supposed to have an analytic extension in some complex domain around the real axis satisfying vertical bar gamma(z)vertical bar = O(vertical bar z vertical bar(-epsilon)), epsilon > 3 as vertical bar Rez vertical bar -> infinity. We show that under conditions on the electric field F, H(F) = -Delta(Omega) + F.x has resonances near the discrete eigenvalues of -Delta(Omega).		[Briet, Philippe] Aix Marseille Univ, CNRS, CPT UMR 7332, F-13288 Marseille, France; [Briet, Philippe] Univ Toulon & Var, CNRS, CPT UMR 7332, F-83957 La Garde, France; [Gharsalli, Mounira] Univ Tunis El Manar, Lab EDP, Dept Math, LR03ES04,Fac Sci Tunis, Tunis 2092, Tunisia; [Briet, Philippe] Aix Marseille Univ, CNRS, CPT UMR 7332, F-13288 Marseille, France; [Briet, Philippe] Univ Toulon & Var, CNRS, CPT UMR 7332, F-83957 La Garde, France								0							Physics, Multidisciplinary; Physics, Mathematical	WOS:000388725300001		
J	Castro-Jimenez, Javier; Gonzalez-Gaya, Belen; Pizarro, Mariana; Casal, Paulo; Pizarro-Alvarez, Cristina; Dachs, Jordi								Organophosphate Ester Flame Retardants and Plasticizers in the Global Oceanic Atmosphere								ENVIRONMENTAL SCIENCE & TECHNOLOGY				50	23			12831	12839		10.1021/acs.est.6b04344			DEC 6 2016	2016	Organophosphate esters (OPEs) are widely used as flame retardants and plasticizers and have been detected ubiquitously in the remote atmosphere. Fourteen OPEs were analyzed in 115 aerosol phase samples collected from the tropical and subtropical Atlantic, Pacific, and Indian Oceans during the MALASPINA circumnavigation campaign. OPEs were detected in all samples with concentrations ranging from 360 to 4400 pg m(-3) for the sum of compounds. No clear concentration trends were found between the Northern and Southern hemispheres. The pattern was generally dominated by tris(1-chloro-2-propyl) phosphate (TCPP), although tri-nbutyl phosphate (TnBP) had a predominant role in samples close to continents and in those influenced by air masses originating in continents. The dry deposition fluxes of aerosol phase Sigma 14OPE ranged from 4 to 140 ng m(-2) d(-1). An estimation of the OPE gas phase concentration and gross absorption fluxes by using three different sets of physical chemical properties suggested that the atmosphere-ocean diffusive exchange of OPEs could be 2-3 orders of magnitude larger than dry deposition. The associated organic phosphorus inputs coming from diffusive OPE fluxes were estimated to potentially trigger up to 1.0% of the reported primary production in the most oligotrophic oceanic regions. However, the uncertainty associated with these calculations is high and mostly driven by the uncertainty of the physical chemical properties of OPEs. Further constraints of the physical chemical properties and fluxes of OPEs are urgently needed, in order to estimate their environmental fate and relevance as a diffusive source of new organic phosphorus to the ocean.		[Castro-Jimenez, Javier; Gonzalez-Gaya, Belen; Pizarro, Mariana; Casal, Paulo; Pizarro-Alvarez, Cristina; Dachs, Jordi] CSIC, Dept Environm Chem, Inst Environm Assessment & Water Res IDAEA, Jordi Girona 18-26, ES-08034 Barcelona, Spain; [Castro-Jimenez, Javier] Univ Toulon & Var, Aix Marseille Univ, CNRS INSU, Mediterranean Inst Oceanog MIO UM 110,IRD, F-13288 Marseille, France; [Gonzalez-Gaya, Belen] CSIC, Inst Organ Chem IQOG, Dept Instrumental Anal & Environm Chem, Juan Cierva 3, Madrid, Spain; [Castro-Jimenez, Javier] CSIC, Dept Environm Chem, Inst Environm Assessment & Water Res IDAEA, Jordi Girona 18-26, ES-08034 Barcelona, Spain; [Castro-Jimenez, Javier] Univ Toulon & Var, Aix Marseille Univ, CNRS INSU, Mediterranean Inst Oceanog MIO UM 110,IRD, F-13288 Marseille, France								48							Engineering, Environmental; Environmental Sciences	WOS:000389557100035		
J	Dammak, Mouna; Haase, Sandra Mareike; Miladi, Ramzi; Ben Amor, Faten; Barkallah, Mohamed; Gosset, David; Pichon, Chantal; Huchzermeyer, Bernhard; Fendri, Imen; Denis, Michel; Abdelkafi, Slim								Enhanced lipid and biomass production by a newly isolated and identified marine microalga								LIPIDS IN HEALTH AND DISEASE				15						209	10.1186/s12944-016-0375-4			DEC 5 2016	2016	Background: The increasing demand for microalgae lipids as an alternative to fish has encouraged researchers to explore oleaginous microalgae for food uses. In this context, optimization of growth and lipid production by the marine oleaginous V-2-strain-microalgae is of great interest as it contains large amounts of mono-unsaturated (MUFAs) and poly-unsaturated fatty acids (PUFAs). Methods: In this study, the isolated V-2 strain was identified based on 23S rRNA gene. Growth and lipid production conditions were optimized by using the response surface methodology in order to maximize its cell growth and lipid content that was quantified by both flow cytometry and the gravimetric method. The intracellular lipid bodies were detected after staining with Nile red by epifluorescence microscopy. The fatty acid profile of optimal culture conditions was determined by gas chromatography coupled to a flame ionization detector. Results: The phenotypic and phylogenetic analyses showed that the strain V-2 was affiliated to Tetraselmis genus. The marine microalga is known as an interesting oleaginous species according to its high lipid production and its fatty acid composition. The optimization process showed that maximum cell abundance was achieved under the following conditions: pH: 7, salinity: 30 and photosynthetic light intensity (PAR): 133 mu mol photons. m(-2). s(-1). In addition, the highest lipid content (49 +/- 2.1% dry weight) was obtained at pH: 7, salinity: 37.23 and photosynthetic light intensity (PAR): 188 mu mol photons. m(-2). s(-1). The fatty acid profile revealed the presence of 39.2% and 16.1% of total fatty acids of mono-unsaturated fatty acids (MUFAs) and poly-unsaturated fatty acids (PUFAs), respectively. Omega 3 (omega 3), omega 6 (omega 6) and omega 9 (omega 9) represented 5.28%, 8.12% and 32.8% of total fatty acids, respectively. Conclusions: This study showed the successful optimization of salinity, light intensity and pH for highest growth, lipid production and a good fatty acid composition, making strain V-2 highly suitable for food and nutraceutical applications.		[Dammak, Mouna; Miladi, Ramzi; Ben Amor, Faten; Barkallah, Mohamed; Abdelkafi, Slim] Univ Sfax, Natl Sch Engineers Sfax, Biol Engn Dept, Biotechnol Algues, Sfax, Tunisia; [Haase, Sandra Mareike] Leibniz Univ Hannover, Inst Hort Prod Syst, Sect Biosyst Engn, Herrenhauser Str 2, D-30419 Hannover, Germany; [Gosset, David; Pichon, Chantal] CNRS, Ctr Mol Biophys CBM, UPR4301, Orleans, France; [Huchzermeyer, Bernhard] Leibniz Univ Hannover, Inst Bot, Herrenhauser Str 2, D-30419 Hannover, Germany; [Fendri, Imen] Univ Sfax, Fac Sci Sfax, Unit Res Toxicol Microbiol Environm & Hlth UR11ES, Sfax, Tunisia; [Denis, Michel] Univ Toulon & Var, Aix Marseille Univ, Inst Mediterraneen Oceanol MIO, CNRS,INSU, 163 Ave Luminy,Case 901, F-13288 Marseille 09, France; [Abdelkafi, Slim] Univ Sfax, Natl Sch Engineers Sfax, Biol Engn Dept, Biotechnol Algues, Sfax, Tunisia								17							Biochemistry & Molecular Biology; Nutrition & Dietetics	WOS:000390068700001		
J	Brizard, A. J.; Morrison, P. J.; Burby, J. W.; de Guillebon, L.; Vittot, M.								Lifting of the Vlasov-Maxwell bracket by Lie-transform method								JOURNAL OF PLASMA PHYSICS				82						905820608	10.1017/S0022377816001161			DEC 2016	2016	The Vlasov-Maxwell equations possess a Hamiltonian structure expressed in terms of a Hamiltonian functional and a functional bracket. In the present paper, the transformation ('lift') of the Vlasov-Maxwell bracket induced by the dynamical reduction of single-particle dynamics is investigated when the reduction is carried out by Lie-transform perturbation methods. The ultimate goal of this work is to provide an explicit pathway to the Hamiltonian formulations for the guiding-centre and gyrokinetic Vlasov-Maxwell equations, which have found important applications in our understanding of turbulent magnetized plasmas. Here, it is shown that the general form of the reduced Vlasov-Maxwell equations possesses a Hamiltonian structure defined in terms of a reduced Hamiltonian functional and a reduced bracket that automatically satisfies the standard bracket properties.		[Brizard, A. J.] St Michaels Coll, Dept Phys, Colchester, VT 05439 USA; [Morrison, P. J.] Univ Texas Austin, Dept Phys, Austin, TX 78712 USA; [Morrison, P. J.] Univ Texas Austin, Inst Fus Studies, Austin, TX 78712 USA; [Burby, J. W.] Courant Inst Math Sci, New York, NY 10012 USA; [de Guillebon, L.; Vittot, M.] Univ Toulon & Var, Aix Marseille Univ, CNRS, CPT, Marseille, France; [Brizard, A. J.] St Michaels Coll, Dept Phys, Colchester, VT 05439 USA				Conference on Vlasov Equation - From Space to Laboratory Plasmas	JUN, 2016		Copanello, ITALY	3							Physics, Fluids & Plasmas	WOS:000396121400018		
J	Tassi, E.; Sulem, P. L.; Passot, T.								Reduced models accounting for parallel magnetic perturbations: gyrofluid and finite Larmor radius-Landau fluid approaches								JOURNAL OF PLASMA PHYSICS				82						705820601	10.1017/S0022377816000921			DEC 2016	2016	Reduced models are derived for a strongly magnetized collisionless plasma at scales which are large relative to the electron thermal gyroradius and in two asymptotic regimes. One corresponds to cold ions and the other to far sub-ion scales. By including the electron pressure dynamics, these models improve the Hall reduced magnetohydrodynamics (MHD) and the kinetic Alfven wave model of Boldyrev et al. (2013 Astrophys. J., vol. 777, 2013, p. 41), respectively. We show that the two models can be obtained either within the gyrofluid formalism of Brizard (Phys. Fluids, vol. 4, 1992, pp. 1213-1228) or as suitable weakly nonlinear limits of the finite Larmor radius (FLR)-Landau fluid model of Sulem and Passot (J. Plasma Phys., vol 81, 2015, 325810103) which extends anisotropic Hall MHD by retaining low-frequency kinetic effects. It is noticeable that, at the far sub-ion scales, the simplifications originating from the gyroaveraging operators in the gyrofluid formalism and leading to subdominant ion velocity and temperature fluctuations, correspond, at the level of the FLR-Landau fluid, to cancellation between hydrodynamic contributions and ion finite Larmor radius corrections. Energy conservation properties of the models are discussed and an explicit example of a closure relation leading to a model with a Hamiltonian structure is provided.		[Tassi, E.] Univ Toulon & Var, Aix Marseille Univ, CNRS, CPT, F-13288 Marseille, France; [Sulem, P. L.; Passot, T.] Univ Cote dAzur, CNRS, Observ Cote dAzur, Lab JL Lagrange, Blvd Observ,CS 34229, F-06304 Nice 4, France; [Tassi, E.] Univ Toulon & Var, Aix Marseille Univ, CNRS, CPT, F-13288 Marseille, France								9							Physics, Fluids & Plasmas	WOS:000396121400008		
J	Bianchi, Davide; Percival, Will J.; Bel, Julien								Improving the modelling of redshift-space distortions - II. A pairwise velocity model covering large and small scales								MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY				463	4			3783	3798		10.1093/mnras/stw2243			DEC 2016	2016	We develop a model for the redshift-space correlation function, valid for both dark matter particles and haloes on scales >5 h(-1) Mpc. In its simplest formulation, the model requires the knowledge of the first three moments of the line-of-sight pairwise velocity distribution plus two well-defined dimensionless parameters. The model is obtained by extending the Gaussian-Gaussianity prescription for the velocity distribution, developed in a previous paper, to a more general concept allowing for local skewness, which is required to match simulations. We compare the model with the well-known Gaussian streaming model and the more recent Edgeworth streaming model. Using N-body simulations as a reference, we show that our model gives a precise description of the redshift-space clustering over a wider range of scales. We do not discuss the theoretical prescription for the evaluation of the velocity moments, leaving this topic to further investigation.		[Bianchi, Davide; Percival, Will J.] Univ Portsmouth, Inst Cosmol & Gravitat, Dennis Sciama Bldg, Portsmouth PO1 3FX, Hants, England; [Bianchi, Davide; Bel, Julien] Osserv Astron Brera, INAF, Via Emilio Bianchi 46, I-23807 Merate, Italy; [Bel, Julien] Univ Toulon & Var, Aix Marseille Univ, CNRS, CPT, F-13009 Marseille, France; [Bianchi, Davide] Univ Portsmouth, Inst Cosmol & Gravitat, Dennis Sciama Bldg, Portsmouth PO1 3FX, Hants, England; [Bianchi, Davide] Osserv Astron Brera, INAF, Via Emilio Bianchi 46, I-23807 Merate, Italy								25							Astronomy & Astrophysics	WOS:000393568200028		
