PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
J	Luce, Hubert; Kantha, Lakshmi; Hashiguchi, Hiroyuki; Lawrence, Dale; Doddi, Abhiram								Turbulence kinetic energy dissipation rates estimated from concurrent UAV and MU radar measurements								EARTH PLANETS AND SPACE				70						207	10.1186/s40623-018-0979-1			DEC 27 2018	2018	We tested models commonly used for estimating turbulence kinetic energy dissipation rates epsilon from very high frequency stratosphere-troposphere radar data. These models relate the root-mean-square value sigma of radial velocity fluctuations assessed from radar Doppler spectra to epsilon. For this purpose, we used data collected from the middle and upper atmosphere (MU) radar during the Shigaraki unmanned aerial vehicle (UAV)radar experiment campaigns carried out at the Shigaraki MU Observatory, Japan, in June 2016 and 2017. On these occasions, UAVs equipped with fast-response and low-noise Pitot tube sensors for turbulence measurements were operated in the immediate vicinity of the MU radar. Radar-derived dissipation rates epsilon estimated from the various models at a range resolution of 150m from the altitude of 1.345km up to the altitude of 4.0km, a (half width half power) beam aperture of 1.32 degrees and a time resolution of 24.6s, were compared to dissipation rates (epsilon U) directly obtained from relative wind speed spectra inferred from UAV measurements. Firstly, statistical analysis results revealed a very close relationship between enhancements of sigma and epsilon U for epsilon Us-3, indicating that both instruments detected the same turbulent events with epsilon U above this threshold. Secondly, epsilon U was found to be statistically proportional to sigma 3, whereas a sigma 2 dependence is expected when the size of the largest turbulent eddies is smaller than the longitudinal and transverse dimensions of the radar sampling volume. The sigma 3 dependence was found even after excluding convectively generated turbulence in the planetary boundary layer and below clouds. The best agreement between epsilon U and radar-derived epsilon was obtained with the simple formulation based on dimensional analysis epsilon=sigma 3/Lc where L-C approximate to 50-70m. This empirical expression constitutes a simple way to estimate dissipation rates in the lower troposphere from MU radar data whatever the sources of turbulence be, in clear air or cloudy conditions, consistent with UAV estimates.		[Luce, Hubert] Univ Toulon & Var, MIO, UM 110, UMR 7294, La Garde, France; [Kantha, Lakshmi; Lawrence, Dale; Doddi, Abhiram] Univ Colorado, Dept Aerosp Engn Sci, Boulder, CO 80309 USA; [Hashiguchi, Hiroyuki] Kyoto Univ, Res Inst Sustainable Humanosphere, Kyoto, Japan; [Hashiguchi, Hiroyuki] Kyoto Univ, Res Inst Sustainable Humanosphere, Kyoto, Japan								7							Geosciences, Multidisciplinary	WOS:000454412900001		
J	Saidi, Rafika; Liebgott, Pierre Pol; Harndi, Moktar; Auria, Richard; Bouallagui, Hassib								Enhancement of fermentative hydrogen production by Thermotoga maritima through hyperthermophilic anaerobic co-digestion of fruit-vegetable and fish wastes								INTERNATIONAL JOURNAL OF HYDROGEN ENERGY				43	52			23168	23177		10.1016/j.ijhydene.2018.10.208			DEC 27 2018	2018	In this work, different proportions of model fruit and vegetable wastes (MFVW) and acid hydrolyzed fish wastes (AHFW) were used for hydrogen production in a minimum culture medium based on seawater. Experiments were performed in pH-controlled Stirred Tank Reactor (STR) with or without the addition of nitrogen and sulfur sources. The total H-2 production and the maximum hydrogen productivity of T. maritima in the culture medium, containing MFVW and AHFW (45 mmol L-1 carbohydrates) at a C/N ratio of 12, were 132 mmol L-1 and 15 mmol h(-1) L-1, respectively. However, tripling the concentration of carbohydrates to reach a C/N ratio of 22, has increased two times the maximum H-2 productivity (28 mmol h(-1) L-1) due to the improvement in nutrient balance. The cumulative H-2 production was 285 mmol L-1, yielding a potential energy generation of 0.1210(3) MJ ton(-1) wastes, which could be an interesting alternative for energy recovery. (C) 2018 Hydrogen Energy Publications LLC. Published by Elsevier Ltd. All rights reserved.		[Saidi, Rafika; Harndi, Moktar; Bouallagui, Hassib] Univ Carthage, LETMi, INSAT, BP 676, Tunis 1080, Tunisia; [Liebgott, Pierre Pol; Auria, Richard] Univ Toulon & Var, Aix Marseille Univ, CNRS, IRD,MIO UM 110, F-13288 Marseille, France; [Bouallagui, Hassib] Univ Carthage, LETMi, INSAT, BP 676, Tunis 1080, Tunisia								13							Chemistry, Physical; Electrochemistry; Energy & Fuels	WOS:000454382200010		
J	Bouruet-Aubertot, Pascale; Cuypers, Yannis; Doglioli, Andrea; Caffin, Mathieu; Yohia, Christophe; de Verneil, Alain; Petrenko, Anne; Lefevre, Dominique; Le Goff, Herve; Rougier, Gilles; Picheral, Marc; Moutin, Thierry								Longitudinal contrast in turbulence along a similar to 19 degrees S section in the Pacific and its consequences for biogeochemical fluxes								BIOGEOSCIENCES				15	24			7485	7504		10.5194/bg-15-7485-2018			DEC 21 2018	2018	Microstructure measurements were performed along the OUTPACE longitudinal transect in the tropical Pacific (Moutin and Bonnet, 2015). Small-scale dynamics and turbulence in the first 800m surface layer were characterized based on hydrographic and current measurements at fine vertical scale and turbulence measurements at centimeter scale using a vertical microstructure profiler. The possible impact of turbulence on biogeochemical budgets in the surface layer was also addressed in this region of increasing oligotrophy to the east. The dissipation rate of turbulent kinetic energy, epsilon, showed an interesting contrast along the longitudinal transect with stronger turbulence in the west, i.e., the Melanesian Archipelago, compared to the east, within the South Pacific Subtropical Gyre, with a variation of epsilon by a factor of 3 within [100-500 m]. The layer with enhanced turbulence decreased in vertical extent travelling eastward. This spatial pattern was correlated with the energy level of the internal wave field, higher in the west compared to the east. The difference in wave energy mostly resulted from enhanced wind power input into inertial motions in the west. Moreover, three long-duration stations were sampled along the cruise transect, each over three inertial periods. The analysis from the western long-duration station gave evidence of an energetic baroclinic near-inertial wave that was responsible for the enhanced epsilon observed within a 50-250 m layer, with a value of 8 x 10(-9) Wkg(-1), about 8 times larger than at the eastern long-duration stations. Averaged nitrate turbulent diffusive fluxes in a 100 m layer below the top of the nitracline were about twice larger west of 170 degrees W due to the higher vertical diffusion coefficient. In the photic layer, the depthaveraged nitrate turbulent diffusive flux strongly decreased eastward, with an averaged value of 11 mu molm 2d(-1) west of 170 degrees Wcompared with the 3 mu molm(-2)d(-1) averaged value east of 170 degrees W. Contrastingly, phosphate turbulent diffusive fluxes were significantly larger in the photic layer. This input may have an important role in sustaining the development of N-2-fixing organisms that were shown to be the main primary contributors to the biological pump in the area. The timespace intermittency of mixing events, intrinsic to turbulence, was underlined, but its consequences for micro-organisms would deserve a dedicated study.		[Bouruet-Aubertot, Pascale; Cuypers, Yannis; Le Goff, Herve] UPMC Univ Paris 06, Sorbonne Univ, LOCEAN, Paris, France; [Doglioli, Andrea; Caffin, Mathieu; Yohia, Christophe; de Verneil, Alain; Petrenko, Anne; Lefevre, Dominique; Rougier, Gilles; Moutin, Thierry] Univ Toulon & Var, Aix Marseille Univ, CNRS, IRD,MIO UM 110, F-13288 Marseille, France; [Picheral, Marc] LOV, Villefranche Sur Mer, France; [Bouruet-Aubertot, Pascale] UPMC Univ Paris 06, Sorbonne Univ, LOCEAN, Paris, France								2							Ecology; Geosciences, Multidisciplinary	WOS:000454146200003		
J	Bocquet, F. C.; Giovanelli, L.; Ksari, Y.; Ovramenko, T.; Mayne, A. J.; Dujardin, G.; Spillebout, F.; Sonnet, P.; Bondino, F.; Magnano, E.; Themlin, J-M								Peculiar covalent bonding of C-60/6H-SiC(0001)-(3 x 3) probed by photoelectron spectroscopy								JOURNAL OF PHYSICS-CONDENSED MATTER				30	50					505002	10.1088/1361-648X/aaed1a			DEC 19 2018	2018	High resolution photoemission with synchrotron radiation was used to study the interface formation of a thin layer of C-60 on 6H-SiC(0001)-(3 x 3), characterized by protruding Si-tetramers. The results show that C-60 is chemisorbed by orbital hybridization between the highest-occupied molecular orbital (HOMO) and the p(z) orbital of Si adatom at the apex of the tetramers. The covalent nature of the bonding was inferred from core level as well as valence band spectra. The Si 2p spectra reveal that a large fraction (at least 45%) of the Si adatoms remain unbound despite the reactive character of the associated dangling bonds. This is consistent with a model in which each C-60 is attached to the substrate through a single covalent C-60-Si bond. A binding energy shift of the core levels associated with sub-surface Si or C atoms indicates a decrease of the SiC band bending caused by a charge transfer from the C-60 molecules to the substrate via the formation of donor-like interface states.		[Bocquet, F. C.] Forschungszentrum Julich, Peter Grunberg Inst PGI 3, D-52425 Julich, Germany; [Bocquet, F. C.] JARA, Fundamentals Future Informat Technol, D-52425 Julich, Germany; [Giovanelli, L.; Ksari, Y.; Themlin, J-M] Univ Toulon & Var, Aix Marseille Univ, CNRS, IM2NP, F-13397 Marseille, France; [Ovramenko, T.; Mayne, A. J.; Dujardin, G.] Univ Paris 11, ISMO, CNRS, Inst Sci Mol Orsay, F-91405 Orsay, France; [Spillebout, F.; Sonnet, P.] Univ Haute Alsace, CNRS, IS2M, UMR 7361, F-68057 Mulhouse, France; [Bondino, F.; Magnano, E.] CNR, IOM, TASC Lab, SS 14,Km 163 5, I-34149 Trieste, Italy; [Bondino, F.] Univ Johannesburg, Dept Phys, POB 524,Auckland Pk, ZA-2006 Johannesburg, South Africa; [Themlin, J-M] Univ Toulon & Var, Aix Marseille Univ, CNRS, IM2NP, F-13397 Marseille, France								0							Physics, Condensed Matter	WOS:000451067900001		
J	Fruh-Green, Gretchen L.; Orcutt, Beth N.; Roumejon, Stephane; Lilley, Marvin D.; Morono, Yuki; Cotterill, Carol; Green, Sophie; Escartin, Javier; John, Barbara E.; McCaig, Andrew M.; Cannat, Mathilde; Menez, Benedicte; Schwarzenbach, Esther M.; Williams, Morgan J.; Morgan, Sally; Lang, Susan Q.; Schrenk, Matthew O.; Brazelton, William J.; Akizawa, Norikatsu; Boschi, Chiara; Dunkel, Kristina G.; Quemeneur, Marianne; Whattam, Scott A.; Mayhew, Lisa; Harris, Michelle; Bayrakci, Gaye; Behrmann, Jan-Hinrich; Herrero-Bervera, Emilio; Hesse, Kirsten; Liu, Hai-Quan; Ratnayake, Amila Sandaruwan; Twing, Katrina; Weis, Dominique; Zhao, Rui; Bilenker, Laura								Magmatism, serpentinization and life: Insights through drilling the Atlantis Massif (IODP Expedition 357)								LITHOS				323				137	155		10.1016/j.lithos.2018.09.012			DEC 15 2018	2018	IODP Expedition 357 used two seabed drills to core 17 shallow holes at 9 sites across Atlantis Massif ocean core complex (Mid-Atlantic Ridge 30 degrees N). The goals of this expedition were to investigate serpentinization processes and microbial activity in the shallow subsurface of highly altered ultramafic and mafic sequences that have been uplifted to the seafloor along a major detachment fault zone. More than 57 m of core were recovered, with borehole penetration ranging from 1.3 to 16.4 meters below seafloor, and core recovery as high as 75% of total penetration in one borehole. The cores show highly heterogeneous rock types and alteration associated with changes in bulk rock chemistry that reflect multiple phases of magmatism, fluid-rock interaction and mass transfer within the detachment fault zone. Recovered ultramafic rocks are dominated by pervasively serpentinized harzburgite with intervals of serpentinized dunite and minor pyroxenite veins; gabbroic rocks occur as melt impregnations and veins. Dolerite intrusions and basaltic rocks represent the latest magmatic activity. The proportion of mafic rocks is volumetrically less than the amount of mafic rocks recovered previously by drilling the central dome of Atlantis Massif at IODP Site U1309. This suggests a different mode of melt accumulation in the mantle peridotites at the ridge-transform intersection and/or a tectonic transposition of rock types within a complex detachment fault zone. The cores revealed a high degree of serpentinization and metasomatic alteration dominated by talc-amphibole-chlorite overprinting. Metasomatism is most prevalent at contacts between ultramafic and mafic domains (gabbroic and/or doleritic intrusions) and points to channeled fluid flow and silica mobility during exhumation along the detachment fault. The presence of the mafic lenses within the serpentinites and their alteration to mechanically weak talc, serpentine and chlorite may also be critical in the development of the detachment fault zone and may aid in continued unroofing of the upper mantle peridotite/gabbro sequences. New technologies were also developed for the seabed drills to enable biogeochemical and microbiological characterization of the environment. An in situ sensor package and water sampling system recorded real-time variations in dissolved methane, oxygen, pH, oxidation reduction potential (Eh), and temperature and during drilling and sampled bottom water after drilling. Systematic excursions in these parameters together with elevated hydrogen and methane concentrations in post-drilling fluids provide evidence for active serpentinization at all sites. In addition, chemical tracers were delivered into the drilling fluids for contamination testing, and a borehole plug system was successfully deployed at some sites for future fluid sampling. A major achievement of IODP Expedition 357 was to obtain microbiological samples along a west-east profile, which will provide a better understanding of how microbial communities evolve as ultramafic and mafic rocks are altered and emplaced on the seafloor. Strict sampling handling protocols allowed for very low limits of microbial cell detection, and our results show that the Atlantis Massif subsurface contains a relatively low density of microbial life. (C) 2018 Elsevier B.V. All rights reserved.		[Fruh-Green, Gretchen L.; Roumejon, Stephane] Swiss Fed Inst Technol, Inst Geochem & Petrol, Clausiusstr 25, CH-8092 Zurich, Switzerland; [Orcutt, Beth N.] Bigelow Lab Ocean Sci, East Boothbay, ME USA; [Lilley, Marvin D.] Univ Washington, Sch Oceanog, Seattle, WA 98195 USA; [Morono, Yuki] Kochi Inst Core Sample Res, Japan Agcy Marine Earth Sci & Technol, Kochi, Japan; [Cotterill, Carol; Green, Sophie] British Geol Survey, ECORD Sci Operator, Edinburgh EH14 4AP, Midlothian, Scotland; [Escartin, Javier; Cannat, Mathilde; Menez, Benedicte] CNRS, Inst Phys Globe Paris, 1 Rue Jussieu, F-75238 Paris 05, France; [John, Barbara E.] Univ Wyoming, Laramie, WY 82071 USA; [McCaig, Andrew M.] Univ Leeds, Sch Earth & Environm, Leeds LS2 9JT, W Yorkshire, England; [Schwarzenbach, Esther M.] Free Univ Berlin, Inst Geol Sci, Malteserstr 74-100, D-12249 Berlin, Germany; [Williams, Morgan J.] Australian Natl Univ, Dept Res, Sch Earth Sci, Mills Rd, Acton, Australia; [Morgan, Sally] Univ Leicester, Dept Geol, Univ Rd, Leicester LE1 7RH, Leics, England; [Lang, Susan Q.] Univ South Carolina, 701 Sumter St EWS 617, Columbia, SC 29208 USA; [Schrenk, Matthew O.; Twing, Katrina] Michigan State Univ, 288 Farm Lane, E Lansing, MI 48824 USA; [Brazelton, William J.; Twing, Katrina] Univ Utah, 257 South 1400 East, Salt Lake City, UT 84112 USA; [Akizawa, Norikatsu] Kanazawa Univ, Dept Earth Sci, Kakuma Kanazawa, Ishikawa 9201192, Japan; [Boschi, Chiara] CNR, Inst Geosci & Earth Resources, I-56124 Pisa, Italy; [Dunkel, Kristina G.] Univ Oslo, Phys Geol Proc, Sem Saelands Vei 24, N-0371 Oslo, Norway; [Quemeneur, Marianne] Univ Toulon & Var, Aix Marseille Univ, MIO, CNRS,IRD, UM 110, F-13288 Marseille, France; [Whattam, Scott A.] Korea Univ, Dept Earth & Environm Sci, Seoul 136701, South Korea; [Mayhew, Lisa] Univ Colorado, 2200 Colorado Ave, Boulder, CO 80466 USA; [Harris, Michelle; Bayrakci, Gaye] Univ Southampton, Natl Oceanog Ctr, European Way, Southampton SO14 3ZH, Hants, England; [Behrmann, Jan-Hinrich] GEOMAR Helmholtz Ctr Ocean Res Kiel, Wischhofstr 1-3, D-24148 Kiel, Germany; [Herrero-Bervera, Emilio] Univ Hawaii Manoa, SOEST, Hawaii Inst Geophys & Planetol, 1680 East West Rd, Honolulu, HI 96822 USA; [Hesse, Kirsten] Friedrich Alexander Univ Erlangen Nuremberg, GeoZentrum Nordbayern, Schlossgarten 5a, D-91054 Erlangen, Germany; [Liu, Hai-Quan] Chinese Acad Sci, Guangzhou Inst Geochem, Key Lab Marginal Sea Geol, 511 Kehua St, Guangzhou 510640, Peoples R China; [Ratnayake, Amila Sandaruwan] Shimane Univ, Fac Sci & Engn, 1060 Nishikawatsu Matsue, Matsue, Shimane 6908504, Japan; [Weis, Dominique; Bilenker, Laura] Univ British Columbia, Earth Ocean & Atmospher Sci, 2020-2207 Main Mall, Vancouver, BC V6T 1ZA, Canada; [Zhao, Rui] Univ Bergen, Ctr Geobiol, Allegaten 4, N-5007 Bergen, Norway; [Williams, Morgan J.] CSIRO Mineral Resources, 26 Dick Perry Ave, Kensington, WA 6151, Australia; [Akizawa, Norikatsu] Univ Tokyo, Atmosphere & Ocean Res Inst, 5-1-5 Kashiwanoha, Kashiwa, Chiba 2778564, Japan; [Whattam, Scott A.] King Fahd Univ Petr & Minerals, Dept Geosci, Dhahran 31261, Saudi Arabia; [Harris, Michelle] Plymouth Univ, Sch Geog Earth & Environm Sci, 109 Fitzroy Bldg, Plymouth PL4 8AA, Devon, England; [Ratnayake, Amila Sandaruwan] Uva Wellassa Univ, Fac Sci & Technol, Mineral Resources & Technol, Passara Rd, Badulla 90000, Sri Lanka; [Fruh-Green, Gretchen L.] Swiss Fed Inst Technol, Inst Geochem & Petrol, Clausiusstr 25, CH-8092 Zurich, Switzerland								21							Geochemistry & Geophysics; Mineralogy	WOS:000453490800010		
J	Carlotti, Francois; Pagano, Marc; Guilloux, Loic; Donoso, Katty; Valdes, Valentina; Grosso, Olivier; Hunt, Brian P. V.								Meso-zooplankton structure and functioning in the western tropical South Pacific along the 20th parallel south during the OUTPACE survey (February-April 2015)								BIOGEOSCIENCES				15	23			7273	7297		10.5194/bg-15-7273-2018			DEC 10 2018	2018	The western tropical South Pacific (WTSP) is one of the most understudied oceanic regions in terms of the planktonic food web, despite supporting some of the largest tuna fisheries in the world. In this stratified oligotrophic ocean, nitrogen fixation may play an important role in supporting the plankton food web and higher trophic level production. In the austral summer (February-April) of 2015, the OUTPACE (Oligotrophy to UlTra-oligotrophy PACific Experiment) project conducted a comprehensive survey of 4000 km along 20 degrees S, from New Caledonia to Tahiti, to determine the role of N-2 fixation on biogeochemical cycles and food web structure in this region. Here, we characterize the zooplankton community and plankton food web processes at 15 short-duration stations (8 h each) to describe the large-scale variability across trophic gradients from oligotrophic waters around Melanesian archipelagoes (MAs) to ultra-oligotrophic waters of the South Pacific gyre (GY). Three long-duration stations (5 days each) enabled a more detailed analysis of processes and were positioned (1) in offshore northern waters of New Caledonia (MA), (2) near Niue Island (MA), and (3) in the subtropical Pacific gyre (GY) near the Cook Islands. At all stations, meso-zooplankton was sampled with a bongo net with 120 mu m mesh size to estimate abundance, biomass, community taxonomy and size structure, and size fractionated delta N-15. Subsequently, we estimated zooplankton carbon demand, grazing impact, excretion rates, and the contribution of diazotroph-derived nitrogen (DDN) to zooplankton biomass. The meso-zooplankton community showed a general decreasing trend in abundance and biomass from west to east, with a clear drop in the GY waters. Higher abundance and biomass corresponded to higher primary production associated with complex mesoscale circulation in the Coral Sea and between 170-180 degrees W. The taxonomic structure showed a high degree of similarity in terms of species richness and abundance distribution across the whole region, with, however, a moderate difference in the GY region, where the copepod contribution to meso-zooplankton increased. The calculated ingestion and metabolic rates allowed us to estimate that the top-down (grazing) and bottom-up (excretion of nitrogen and phosphorous) impact of zooplankton on phytoplankton was potentially high. Daily grazing pressure on phytoplankton stocks was estimated to remove 19% to 184% of the total daily primary production and 1.5% to 22% of fixed N-2. The top-down impact of meso-zooplankton was higher in the eastern part of the transect, including GY, than in the Coral Sea region and was mainly exerted on nano- and micro-phytoplankton. The regeneration of nutrients by zooplankton excretion was high, suggesting a strong contribution to regenerated production, particularly in terms of N. Daily NH4+ excretion accounted for 14.5% to 165% of phytoplankton needs for N, whereas PO43- excretion accounted for only 2.8% to 34% of P needs. From zooplankton delta N-15 values, we estimated that the DDN contributed to up to 67% and 75% to the zooplankton biomass in the western and central parts of the MA regions, respectively, but strongly decreased to an average of 22% in the GY region and down to 7% in the easternmost station. Thus, the highest contribution of diazotrophic microorganisms to zooplankton biomass occurred in the region of highest N-2 fixation rates and when Trichodesmium dominated the diazotrophs community (MA waters). Our estimations of the fluxes associated with zooplankton were highly variable between stations and zones but very high in most cases compared to literature data, partially due to the high contribution of small forms. The highest values encountered were found at the boundary between the oligotrophic (MA) and ultra-oligotrophic regions (GY). Within the MA zone, the high variability of the top-down and bottom-up impact was related to the high mesoscale activity in the physical environment. Estimated zooplankton respiration rates relative to primary production were among the highest cited values at similar latitudes, inducing a high contribution of migrant zooplankton respiration to carbon flux. Despite the relatively low biomass values of planktonic components in quasi-steady state, the availability of micro- and macronutrients related to physical mesoscale patterns in the waters surrounding the MA, the fueling by DDN, and the relatively high rates of plankton production and metabolism estimated during OUTPACE may explain the productive food chain ending with valuable fisheries in this region.		[Carlotti, Francois; Pagano, Marc; Guilloux, Loic; Donoso, Katty; Grosso, Olivier; Hunt, Brian P. V.] Univ Toulon & Var, Aix Marseille Univ, CNRS, IRD,OSU Pytheas,MIO UM 110, F-13288 Marseille 09, France; [Valdes, Valentina] Univ Concepcion, Fac Ciencias Nat & Oceanog, Dept Oceanog, Programa Doctorado Oceanog, Concepcion, Chile; [Valdes, Valentina] Sorbonne Univ, Univ Paris 06, Univ Pierre & Marie Curie, CNRS,Lab Oceanog Microbienne LOMIC,Observ Oceanol, Banyuls sur Mer, France; [Hunt, Brian P. V.] Univ British Columbia, Inst Oceans & Fisheries, Vancouver, BC, Canada; [Hunt, Brian P. V.] Univ British Columbia, Dept Earth Ocean & Atmospher Sci, Vancouver, BC, Canada; [Hunt, Brian P. V.] Hakai Inst, Heriot Bay, BC, Canada; [Carlotti, Francois] Univ Toulon & Var, Aix Marseille Univ, CNRS, IRD,OSU Pytheas,MIO UM 110, F-13288 Marseille 09, France								3							Ecology; Geosciences, Multidisciplinary	WOS:000452661500001		
J	Reynaud, Clement A.; Duche, David; Le Rouzo, Judikael; Nasser, Antoine; Nony, Laurent; Pourcin, Florent; Margeat, Olivier; Ackermann, Jorg; Berginc, Gerard; Nijhuis, Christian A.; Escoubas, Ludovic; Simon, Jean-Jacques								Enhancing Reproducibility and Nonlocal Effects in Film-Coupled Nanoantennas								ADVANCED OPTICAL MATERIALS				6	23					1801177	10.1002/adom.201801177			DEC 3 2018	2018	Nanopatch antennas based on the assembly of nanocubes are an appealing way to easily produce structures that feature very thin gaps between metals at a very low cost compared with other surface modification techniques. If these coatings are very good absorbers in the visible and near-infrared range, they can also be of interest for reaching light confinement regimes where nonlocality arises strongly, or for designing molecular electronics junctions embedded in resonating cavities. Here both modeling and experimental realization of a nanocube assembly approach based on alkyldithiols molecules is proposed that enables a high reproducibility on the resonance position of the cavities, as well as gaps that are thinner than the usual 3 nm limit often reported in the literature, thus opening the way to experimental confirmation of nonlocal effects as well as new perspectives for molecular electronics.		[Reynaud, Clement A.; Duche, David; Le Rouzo, Judikael; Nasser, Antoine; Nony, Laurent; Escoubas, Ludovic; Simon, Jean-Jacques] Univ Toulon & Var, Aix Marseille Univ, CNRS, UMR 7334,IM2NP, F-13397 Marseille, France; [Pourcin, Florent; Margeat, Olivier; Ackermann, Jorg] Aix Marseille Univ, CNRS, UMR 7325, CINaM Ctr Interdisciplinaire Nanosci Marseille, F-13288 Marseille, France; [Berginc, Gerard] Thales Optron, F-78990 Elancourt, France; [Nijhuis, Christian A.] Natl Univ Singapore, Dept Chem, Singapore, Singapore; [Reynaud, Clement A.; Duche, David; Escoubas, Ludovic; Simon, Jean-Jacques] Univ Toulon & Var, Aix Marseille Univ, CNRS, UMR 7334,IM2NP, F-13397 Marseille, France								5							Materials Science, Multidisciplinary; Optics	WOS:000453512700021		
J	Rovelli, Carlo								Physics Needs Philosophy. Philosophy Needs Physics								DISPUTATIO-PHILOSOPHICAL RESEARCH BULLETIN				7	8					a019				DEC 2018	2018	Contrary to claims about the irrelevance of philosophy for science, I argue that philosophy has had, and still has, far more influence on physics than is commonly assumed. I maintain that the current anti-philosophical ideology has had damaging effects on the fertility of science. I also suggest that recent important empirical results, such as the detection of the Higgs particle and gravitational waves, and the failure to detect supersymmetry where many expected to find it, question the validity of certain philosophical assumptions common among theoretical physicists, inviting us to engage in a clearer philosophical reflection on scientific method. (C) Studia Humanitatis - Universidad de Salamanca 2018		[Rovelli, Carlo] Univ Toulon & Var, Aix Marseille Univ, CNRS, CPT, Toulon, France; [Rovelli, Carlo] Univ Toulon & Var, Aix Marseille Univ, CNRS, CPT, Toulon, France								0							Philosophy	WOS:000458569500019		
J	Ferraro, Dario; Ronetti, Flavio; Vannucci, Luca; Acciai, Matteo; Rech, Jerome; Jockheere, Thibaut; Martin, Thierry; Sassetti, Maura								Hong-Ou-Mandel characterization of multiply charged Levitons								EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS				227	12			1345	1359		10.1140/epjst/e2018-800074-1			DEC 2018	2018	We review and develop recent results regarding Leviton excitations generated in topological states of matter - such as integer and fractional quantum Hall edge channels - and carrying a charge multiple of the electronic one. The peculiar features associated with these clean and robust emerging excitations can be detected through current correlation measurements. In particular, relevant information can be extracted from the noise signal in generalized Hong-Ou-Mandel experiments, where Levitons with different charges collide against each other at a quantum point contact. We describe this quantity both in the framework of the photo-assisted noise formalism and in terms of a very interesting and transparent picture based on wave-packet overlap.		[Ferraro, Dario] Ist Italiano Tecnol, Graphene Labs, Via Morego 30, I-16163 Genoa, Italy; [Ronetti, Flavio; Vannucci, Luca; Acciai, Matteo; Sassetti, Maura] Univ Genoa, Dipartimento Fis, Via Dodecaneso 33, I-16146 Genoa, Italy; [Ronetti, Flavio; Vannucci, Luca; Acciai, Matteo; Sassetti, Maura] CNR SPIN, Via Dodecaneso 33, I-16146 Genoa, Italy; [Ronetti, Flavio; Acciai, Matteo; Rech, Jerome; Jockheere, Thibaut; Martin, Thierry] Univ Toulon & Var, Aix Marseille Univ, CNRS, CPT, Marseille, France; [Ferraro, Dario] Ist Italiano Tecnol, Graphene Labs, Via Morego 30, I-16163 Genoa, Italy								19							Physics, Multidisciplinary	WOS:000455553900005		
J	Hitaishi, Vivek Pratap; Mazurenko, Ievgen; Harb, Malek; Clement, Romain; Taris, Marion; Castano, Sabine; Duche, David; Lecomte, Sophie; Ilbert, Marianne; de Poulpiquet, Anne; Lojou, Elisabeth								Electrostatic-Driven Activity, Loading, Dynamics, and Stability of a Redox Enzyme on Functionalized-Gold Electrodes for Bioelectrocatalysis								ACS CATALYSIS				8	12			12004	12014		10.1021/acscatal.8b03443			DEC 2018	2018	The oxygen reduction reaction is the limiting step in fuel cells, and many works are in progress to find efficient cathode catalysts. Among them, bilirubin oxidases are copper-based enzymes that reduce oxygen into water with low overpotentials. The factors that ensure electrocatalytic efficiency of the enzyme in the immobilized state are not well understood, however. In this work, we use a multiple methodological approach on a wide range of pH values for protein adsorption and electrocatalysis to demonstrate the effect of electrostatic interactions on the electrical wiring, dynamics, and stability of a bilirubin oxidase adsorbed on self-assembled-monolayers on gold. We show on one hand that the global charge of the enzyme controls the loading on the interface and that the specific activity of the immobilized enzyme decreases with the enzyme coverage. On the other hand, we show that the dipole moment of the protein and the charge in the vicinity of the Cu site acting as the entry point of electrons drive the enzyme orientation. In case of weak electrostatic interactions, we demonstrate that local pH variation affects the electron transfer rate as a result of protein mobility on the surface. On the contrary, stronger electrostatic interactions destabilize the protein structure and affect the stability of the catalytic signal. These data illustrate the interplay between immobilized protein dynamics and local environment that control the efficiency of bioelectro catalysis.		[Hitaishi, Vivek Pratap; Harb, Malek; Clement, Romain; Ilbert, Marianne; de Poulpiquet, Anne; Lojou, Elisabeth] Aix Marseille Univ, CNRS, BIP, UMR 7281, 31 Chemin Aiguier, F-13009 Marseille, France; [Mazurenko, Ievgen] Univ Leeds, Sch Biomed Sci, Leeds LS2 9JT, W Yorkshire, England; [Taris, Marion; Castano, Sabine; Lecomte, Sophie] Inst Chem & Biol Membrane & Nanoobjects, Allee Geoffroy St Hilaire, F-33600 Pessac, France; [Duche, David] Univ Toulon & Var, CNRS, Aix Marseille Univ, IM2NP,UMR 7334, F-13397 Marseille, France; [Lojou, Elisabeth] Aix Marseille Univ, CNRS, BIP, UMR 7281, 31 Chemin Aiguier, F-13009 Marseille, France								23							Chemistry, Physical	WOS:000453491100105		
